name,id
Merseguera-Sauvignon Blanc,82101
Rotgipfler,3234
Tempranillo-Malbec,38757
Rosato,89
Xarel-lo,952
Viura,635
Austrian Red Blend,1442
Sémillon,722
White Port,3882
Romorantin,34625
Vidal Blanc,3778
Chelois,86263
Ciliegiolo,24547
Pinot Gris,2
Alvarinho,2094
Gros Plant,20298
Sauvignon Gris,3635
Savatiano,35702
Petit Courbu,114407
Malbec-Tannat,1991
Viognier-Gewürztraminer,20030
Airen,43996
Verdejo,212
Sauvignon Blanc,34
Picpoul,3733
Antão Vaz,745
Carmenère-Cabernet Sauvignon,14109
Merlot,23
Syrah-Petit Verdot,4958
Other,65939
Blauburger,103967
Verdejo-Sauvignon Blanc,34816
Magliocco,3510
Perricone,4331
Nero d'Avola,24
Zinfandel,84
Muskat Ottonel,1631
Valvin Muscat,98794
Alicante,26011
Cabernet Sauvignon-Malbec,4638
Moscatel de Alejandría,48860
Nosiola,4209
Malvasia Nera,50679
Verdeca,74455
Scheurebe,527
Terrantez,31417
Roviello,70878
Tinta Francisca,50267
Rkatsiteli,11111
Tocai Friulano,6189
Graševina,32354
Trepat,10488
Sauvignon Blanc-Assyrtiko,86757
Garnacha Tintorera,667
Tinta del Pais,16315
Lagrein,2526
Macabeo,15812
Durella,7524
Viosinho,43029
Shiraz-Cabernet Sauvignon,123
Vital,93558
Ondenc,127521
Rhône-style White Blend,448
Ugni Blanc-Colombard,240
Merlot-Cabernet Sauvignon,7714
Pinot Bianco,221
Melon,447
Vermentino,107
Viognier-Valdiguié,120171
Tinta Barroca,9957
Pallagrello Nero,36173
Clairette,9066
Alvarinho-Chardonnay,72363
Bordeaux-style White Blend,53
Pinot Blanc,128
Chenin Blanc-Sauvignon Blanc,9625
Kalecik Karasi,8778
Chenin Blanc,29
Malvasia-Viura,35498
Vidal,454
Syrah-Malbec,40175
Negrette,8969
Rara Neagra,43481
Kerner,542
Tsapournakos,120799
Malbec-Cabernet,26535
Narince,26491
Arinto,3031
Petite Sirah,74
Rabigato,70163
no_winery_specified,86909
Fiano,856
Mauzac,9292
Apple,95706
Rebo,37106
Blatina,96759
Lambrusco Grasparossa,6174
Cabernet Sauvignon-Tempranillo,6812
Grenache Gris,105349
Gros and Petit Manseng,8755
Passerina,7954
Marawi,22074
Teran,10290
Baga-Touriga Nacional,23475
Syrah-Cabernet Sauvignon,2612
Trousseau,39386
Touriga Nacional-Cabernet Sauvignon,11990
Morio Muskat,70019
Malagouzia,67572
Roussanne-Viognier,4238
Roditis-Moschofilero,99438
Aidani,47420
Blauer Portugieser,22398
Vermentino Nero,84175
Muscat Hamburg,28793
Colombard-Sauvignon Blanc,8054
Erbaluce,44270
Portuguiser,51794
Moschofilero-Chardonnay,43258
Altesse,4060
Pinotage-Merlot,52271
Viognier-Roussanne,12309
Durif,89519
Tannat-Cabernet,166
Avesso,907
Kuntra,123319
Mondeuse,4278
Sauvignon Blanc-Semillon,1649
Tannat-Syrah,1192
Dornfelder,4215
Verduzzo Friulano,17876
Turbiana,2022
Grenache-Carignan,5707
Cannonau,479
Loureiro,8171
Feteasca,96948
Maria Gomes-Bical,52754
White Blend,0
Siria,5828
Counoise,15759
Rosado,1822
Tempranillo-Shiraz,21774
Gaglioppo,13591
Tempranillo,426
Madeira Blend,7408
Moscatel,1718
Greco Bianco,24644
Rivaner,31733
Sauvignon Blanc-Verdejo,47088
Sacy,13838
Syrah-Cabernet Franc,40193
Freisa,10600
Pinot Gris-Gewürztraminer,29253
Cabernet Franc-Malbec,35978
Savagnin,292
Prié Blanc,1297
Chancellor,100471
Bual,31425
Hondarrabi Zuri,30108
Torontel,118316
Cabernet Sauvignon-Syrah,295
Tinta Cao,22311
Saperavi-Merlot,72430
Cabernet Sauvignon-Shiraz,2596
Mandilaria,71954
Syrah-Petite Sirah,3113
Forcallà,18607
Muscat Canelli,2929
Trincadeira,11023
Fer Servadou,33166
Black Muscat,7444
Roditis,1155
Bombino Nero,56546
Pecorino,3226
Cayuga,84372
Vespaiolo,46141
Cariñena-Garnacha,40631
Merlot-Shiraz,67554
Castelão,10145
Nuragus,30529
Zelen,25841
Siegerrebe,11165
Lambrusco,4539
